-0.000742 -0.000391 0.019425, -0.728647 -0.420684 -0.540461
-0.000748 -0.000464 0.019490, -0.728647 -0.420685 -0.540460
-0.000645 -0.000537 0.019425, -0.625259 -0.562986 -0.540460
-0.000635 -0.000609 0.019490, -0.625259 -0.562986 -0.540460
-0.000519 -0.000659 0.019425, -0.494544 -0.680682 -0.540460
-0.000494 -0.000728 0.019490, -0.494545 -0.680682 -0.540461
-0.000370 -0.000753 0.019425, -0.342216 -0.768629 -0.540461
-0.000332 -0.000815 0.019490, -0.342216 -0.768629 -0.540460
-0.000206 -0.000813 0.019425, -0.174931 -0.822983 -0.540460
-0.000156 -0.000866 0.019490, -0.174931 -0.822984 -0.540460
-0.000032 -0.000838 0.019425, 0.000000 -0.841369 -0.540460
0.000028 -0.000880 0.019490, -0.000000 -0.841369 -0.540460
0.000143 -0.000827 0.019425, 0.174931 -0.822984 -0.540460
0.000210 -0.000855 0.019490, 0.174931 -0.822983 -0.540460
0.000312 -0.000779 0.019425, 0.342216 -0.768629 -0.540460
0.000383 -0.000792 0.019490, 0.342216 -0.768629 -0.540461
0.000467 -0.000697 0.019425, 0.494544 -0.680682 -0.540461
0.000540 -0.000695 0.019490, 0.494545 -0.680682 -0.540460
0.000601 -0.000585 0.019425, 0.625259 -0.562986 -0.540460
0.000672 -0.000568 0.019490, 0.625259 -0.562986 -0.540460
0.000710 -0.000447 0.019425, 0.728648 -0.420684 -0.540460
0.000776 -0.000416 0.019490, 0.728647 -0.420685 -0.540461
0.000787 -0.000290 0.019425, 0.800190 -0.259998 -0.540461
0.000845 -0.000245 0.019490, 0.800190 -0.259997 -0.540460
0.000830 -0.000120 0.019425, 0.836760 -0.087947 -0.540460
0.000878 -0.000064 0.019490, 0.836760 -0.087947 -0.540461
0.000951 0.000064 0.019625, 0.910943 0.095744 -0.401267
0.000975 0.000135 0.019696, 0.910943 0.095744 -0.401268
0.000917 0.000260 0.019625, 0.871131 0.283047 -0.401268
0.000925 0.000335 0.019696, 0.871131 0.283047 -0.401267
0.000842 0.000445 0.019625, 0.793245 0.457981 -0.401267
0.000835 0.000520 0.019696, 0.793245 0.457980 -0.401268
0.000731 0.000611 0.019625, 0.680692 0.612897 -0.401268
0.000709 0.000682 0.019696, 0.680691 0.612898 -0.401267
0.000588 0.000749 0.019625, 0.538388 0.741028 -0.401267
0.000552 0.000814 0.019696, 0.538388 0.741028 -0.401267
0.000420 0.000855 0.019625, 0.372555 0.836772 -0.401267
0.000370 0.000911 0.019696, 0.372555 0.836772 -0.401267
0.000233 0.000924 0.019625, 0.190439 0.895945 -0.401267
0.000173 0.000969 0.019696, 0.190439 0.895945 -0.401268
0.000036 0.000952 0.019625, 0.000000 0.915961 -0.401268
-0.000032 0.000983 0.019696, -0.000000 0.915961 -0.401268
-0.000163 0.000939 0.019625, -0.190439 0.895945 -0.401268
-0.000236 0.000955 0.019696, -0.190439 0.895945 -0.401267
-0.000355 0.000884 0.019625, -0.372555 0.836772 -0.401267
-0.000429 0.000885 0.019696, -0.372555 0.836772 -0.401267
-0.000531 0.000791 0.019625, -0.538389 0.741028 -0.401267
-0.000604 0.000777 0.019696, -0.538388 0.741028 -0.401267
-0.000684 0.000664 0.019625, -0.680692 0.612897 -0.401267
-0.000752 0.000634 0.019696, -0.680691 0.612898 -0.401268
-0.000807 0.000507 0.019625, -0.793245 0.457981 -0.401268
-0.000868 0.000464 0.019696, -0.793245 0.457980 -0.401267
-0.000895 0.000328 0.019625, -0.871131 0.283047 -0.401267
-0.000945 0.000273 0.019696, -0.871131 0.283047 -0.401268
-0.000943 0.000135 0.019625, -0.910943 0.095744 -0.401268
-0.000981 0.000071 0.019696, -0.910943 0.095744 -0.401267
-0.000951 -0.000064 0.019625, -0.910943 -0.095744 -0.401267
-0.000975 -0.000135 0.019696, -0.910943 -0.095744 -0.401268
-0.000917 -0.000260 0.019625, -0.871131 -0.283047 -0.401268
-0.000925 -0.000335 0.019696, -0.871131 -0.283047 -0.401267
-0.000842 -0.000445 0.019625, -0.793245 -0.457981 -0.401267
-0.000835 -0.000520 0.019696, -0.793245 -0.457980 -0.401268
-0.000731 -0.000611 0.019625, -0.680692 -0.612897 -0.401268
-0.000709 -0.000682 0.019696, -0.680691 -0.612898 -0.401267
